id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,Rop2,Rop4,Rop6,Rmast1,Rmast3,Rmast4,Rmast6,Rmast7,Rpss4,Rpss5,Rpss7,Rpss8,Rsest3,Rsest5,Rsest7,Rsest9,Rsest10,Rpc1,Rpc2,Rpc7,Rpc11,Rpc15,Rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,LG10negaff,MAH+AF8-1,COO+AF8-1,MAH+AF8-2
138,1,27,1,2,3,1,1,100,5,1,5,1,5,1,1,4,1,1,4,1,4,4,4,3,4,2,5,4,4,5,2,3,3,4,2,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,4,2,4,3,1,3,4,4,1,4,1,3,3,3,1,2,1,0,1,0,0,0,0,0,0,0,4,2,2,3,5,1,5,2,3,3,5,5,2,1,2,4,2,5,5,5,5,4,4,4,4,1,1,2,2,3,4,4,2,4,3,2,4,1,1,4,2,30,25,41,33,23,23,35,2,48,1,2,2,1.5185139399,3.6610514169,0.0031414739,11.1368655543
184,2,34,4,1,5,5,2,0,4,1,4,1,5,1,1,4,1,1,4,3,1,4,5,3,4,1,4,3,4,3,1,4,4,4,2,3,1,5,3,2,2,6,7,6,7,5,2,1,2,5,5,2,4,4,1,2,4,4,1,1,1,4,1,4,1,1,0,1,1,0,1,0,1,1,0,1,3,4,2,4,5,3,3,1,2,2,5,3,2,2,4,4,2,2,5,5,5,4,4,4,2,4,1,1,2,2,4,4,4,4,4,3,2,3,1,2,2,28,26,37,25,31,16,37,6,43,2,3,4,1.3979400087,6.7712639669,0.0431995275,11.0069094416
183,1,35,1,2,4,7,2,0,2,4,5,5,2,2,3,4,3,3,2,3,2,2,2,3,1,2,1,1,2,1,1,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,3,5,4,3,3,3,3,3,4,3,2,3,2,2,2,1,3,3,3,3,0,0,1,1,1,0,1,1,0,0,3,2,3,4,3,2,4,2,4,3,4,1,4,2,2,2,2,3,2,1,4,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,4,2,2,4,4,16,17,11,20,5,34,23,5,52,2,3,3,1.3010299957,1.4524863941,0.0008230486,10.8634326447
144,2,43,4,1,2,2,2,,4,3,3,3,4,3,3,4,2,2,4,4,4,3,5,1,1,5,5,1,4,1,5,5,1,1,1,1,5,1,1,5,5,1,1,2,2,2,4,4,4,2,1,5,1,1,1,5,4,4,1,1,1,3,4,3,3,4,0,1,1,1,0,0,0,0,0,0,3,5,1,1,1,1,5,3,1,3,3,1,4,1,5,5,1,1,3,3,3,2,3,3,1,1,4,5,5,5,4,4,1,2,1,3,1,1,3,1,1,20,18,16,39,8,42,27,3,29,2,4,1,1.6127838567,7.2115681083,0.0199133782,10.7093941172
57,1,50,4,1,4,1,2,0,4,3,1,4,4,3,2,4,2,2,3,2,3,1,1,1,3,1,5,3,3,3,1,5,1,1,1,1,1,1,1,1,1,5,5,5,6,6,3,2,3,5,4,1,5,5,3,2,4,4,1,4,1,3,1,3,1,1,0,1,1,0,0,0,1,1,0,1,3,4,5,3,4,2,1,4,3,4,1,3,4,3,1,2,3,3,3,2,3,3,3,3,3,2,1,2,1,1,4,4,4,4,4,3,2,5,5,5,4,17,21,20,16,27,19,38,5,65,3,5,3,1.2041199827,0.3338572952,0.0031828439,9.6506180443
491,1,57,4,2,4,6,1,200,1,3,5,3,1,5,4,4,1,3,2,4,4,3,3,5,1,5,5,2,4,3,1,3,1,3,5,1,4,3,3,5,2,1,1,1,3,1,3,4,4,2,5,3,4,5,3,5,1,4,2,4,2,2,4,1,2,2,1,1,1,0,0,0,0,0,0,0,5,3,4,2,1,2,3,2,3,4,1,4,2,4,2,2,4,5,3,3,1,1,4,2,1,1,4,1,2,1,3,3,1,3,3,1,3,3,5,4,4,14,15,25,37,7,30,25,3,57,3,5,3,1.5682017241,3.3720794601,0.0004857986,9.5562424991
41,2,37,6,1,3,1,2,0,3,3,3,2,3,3,3,3,1,1,4,2,2,3,5,3,1,5,3,3,4,1,5,5,1,2,2,1,5,2,2,4,5,2,2,2,6,2,5,5,5,2,3,2,3,3,5,5,2,2,3,2,2,1,4,1,3,3,1,1,1,1,1,0,0,1,0,0,4,3,2,2,1,2,3,2,2,3,4,2,2,2,5,4,2,3,3,4,3,2,4,4,3,3,4,3,3,3,2,3,1,2,2,2,3,3,2,1,2,19,23,19,39,14,40,18,6,38,2,3,2,1.6334684556,5.8620088149,0.0308948505,9.2342225696
6,2,41,7,1,6,1,2,0,4,3,4,2,4,4,3,4,4,4,2,2,2,3,4,1,2,2,4,2,2,3,4,4,1,2,1,1,2,3,2,2,2,5,4,5,5,2,4,4,4,3,2,5,2,2,5,5,4,4,1,4,1,3,3,4,3,1,0,0,1,1,0,0,1,0,0,1,2,3,5,4,5,2,3,4,4,4,3,3,4,3,2,2,3,4,3,4,2,2,1,1,3,3,3,4,4,4,4,4,2,2,4,4,3,3,3,4,4,21,16,23,24,21,42,35,4,66,2,4,5,1.3802112417,4.0981755694,0.0356562766,9.2156135614
157,2,19,1,2,3,7,2,0,4,4,4,4,2,3,3,2,3,3,4,4,4,2,5,5,3,4,2,3,2,1,1,3,2,2,5,3,3,2,2,5,3,3,1,2,1,2,5,5,5,3,2,5,3,2,5,5,4,4,4,3,3,2,4,2,4,4,0,1,1,0,0,0,0,1,0,0,4,5,2,2,3,4,5,2,3,3,3,3,1,1,5,5,1,3,2,2,3,2,2,2,1,1,3,4,3,4,1,2,1,1,1,2,1,1,3,1,1,17,14,22,36,9,44,21,3,37,1,1,2,1.5563025008,5.0710136625,0.0183584883,9.0458066889
287,2,25,1,2,5,1,2,0,4,2,3,1,5,1,1,4,1,3,4,2,1,4,4,5,1,2,3,2,5,2,1,5,3,3,5,3,2,3,3,5,5,1,1,4,7,7,3,4,5,4,3,3,3,2,1,5,4,4,1,3,1,3,1,4,3,1,1,1,1,1,1,0,1,1,1,1,3,4,2,3,5,3,5,4,4,3,1,5,4,3,2,1,5,5,4,5,5,4,4,2,3,4,2,3,3,4,4,4,4,2,4,3,2,1,5,4,5,26,25,27,39,20,33,36,9,66,1,2,4,1.591064607,0.6654242194,0.0061438534,9.0306932433
53,1,23,1,2,3,1,2,,4,5,3,4,2,4,3,3,2,3,3,1,2,4,2,2,2,3,5,1,2,2,2,2,2,1,2,3,2,1,1,1,1,4,4,2,2,5,3,3,4,2,2,4,3,2,5,5,3,3,2,2,3,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,5,3,2,3,2,4,1,3,3,4,3,2,2,4,4,2,1,1,2,2,2,3,2,4,3,4,4,3,4,3,2,3,3,4,5,1,2,2,2,2,14,20,22,19,17,39,28,1,41,1,1,2,1.278753601,2.9100340368,0.0102046109,8.9661030441
330,2,53,4,2,2,6,2,0,3,5,5,5,2,5,4,2,4,4,4,4,4,2,5,1,1,1,4,1,5,1,5,5,1,2,2,1,1,1,3,5,5,7,6,7,2,1,5,5,5,5,1,5,3,3,5,5,4,3,4,3,4,1,4,2,3,3,1,1,1,0,0,0,1,0,0,0,5,4,2,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,3,3,1,1,1,2,2,1,2,1,1,1,1,13,11,17,35,23,42,20,4,60,3,5,1,1.5440680444,9.8881689608,0.0350147674,8.7944079893
379,2,47,4,1,4,1,2,0,5,4,5,2,5,2,2,3,3,3,4,3,1,5,3,3,4,3,5,5,4,5,4,4,5,4,3,5,3,5,3,3,2,6,6,6,7,7,5,3,4,5,3,3,3,4,3,2,4,4,1,4,1,4,3,4,1,1,1,1,1,1,1,0,0,1,0,0,2,2,5,5,5,5,2,2,4,5,1,5,4,4,3,3,3,4,2,4,4,3,2,2,2,4,1,3,3,2,4,4,2,4,4,4,4,4,5,3,3,25,20,46,32,32,29,38,6,74,3,4,3,1.5051499783,2.6874828958,0.0019910275,8.7005274945
59,2,36,6,1,2,1,2,0,2,4,3,4,3,4,2,3,2,2,4,2,3,5,4,4,3,4,5,3,4,3,5,3,2,2,4,2,4,2,4,4,4,3,4,4,3,6,3,3,4,3,2,3,2,3,4,3,4,4,2,3,3,3,3,3,3,2,1,1,1,1,1,0,0,1,1,0,2,4,4,2,4,3,3,2,5,4,1,3,3,3,4,4,2,3,2,2,2,3,3,3,3,2,3,4,4,3,3,2,2,2,3,4,2,3,5,2,2,14,21,31,39,20,34,29,7,56,2,3,1,1.6020599913,0.1490529458,0.0017725158,8.373826604
416,1,21,1,2,3,1,2,,3,3,3,3,5,2,2,3,3,3,3,3,3,4,4,4,3,2,5,4,5,2,2,5,4,2,4,4,1,4,4,5,5,4,5,5,5,4,3,4,5,5,3,5,4,4,3,3,4,4,1,3,4,4,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,5,3,4,2,2,5,3,3,2,4,3,2,2,2,2,4,3,3,3,4,3,2,2,2,2,1,3,2,2,4,1,4,2,2,1,1,1,2,4,4,21,17,36,37,23,31,31,2,46,1,1,2,1.5682017241,1.9266468464,0.0002059887,8.2874500322
508,2,26,3,1,5,1,2,0,4,2,4,2,4,2,3,2,2,3,3,1,1,5,3,2,4,1,4,3,1,4,1,2,3,4,1,2,1,4,5,1,1,3,4,5,5,3,4,4,4,3,3,2,4,3,5,4,4,4,1,4,1,3,2,4,3,1,1,1,1,0,0,0,1,0,0,0,2,4,2,4,4,2,3,2,3,3,3,4,2,2,2,2,3,3,4,4,4,2,3,2,4,4,3,3,2,3,4,4,3,2,4,4,2,3,3,4,4,24,20,38,14,20,34,36,4,54,1,2,4,1.1461280357,0.3392054353,0.001448511,7.9388445247
116,2,48,5,1,4,1,2,0,3,3,3,3,4,2,3,3,3,3,3,3,4,4,5,5,4,1,2,3,5,3,5,5,2,3,5,4,2,3,3,5,3,3,5,5,5,1,5,4,5,3,3,5,3,3,2,4,4,4,2,4,3,3,1,3,2,2,1,1,1,1,1,0,0,0,0,0,5,4,3,3,2,2,4,3,4,4,4,2,1,1,5,5,1,2,3,3,4,2,2,2,2,1,3,3,3,3,3,2,4,3,3,1,2,2,2,1,1,20,15,31,39,19,37,33,5,37,3,4,3,1.6127838567,4.5156293455,0.0008759797,7.8548467184
422,2,24,1,2,4,1,2,,3,1,4,2,5,1,3,4,2,2,3,3,4,3,5,4,3,1,4,3,5,4,3,3,2,4,4,3,2,3,4,5,5,6,5,7,5,4,3,3,4,3,4,3,3,4,4,4,4,4,1,4,1,3,2,3,2,1,0,1,1,0,0,0,0,0,0,0,3,3,3,4,4,5,3,3,3,4,3,4,2,3,2,2,4,4,5,4,5,2,3,3,2,1,3,2,3,2,4,4,3,3,4,3,3,3,3,4,4,26,18,33,37,27,31,36,2,63,1,1,3,1.5682017241,1.5554574827,0.0006054862,7.8408414795
87,1,25,1,2,5,1,2,0,3,3,4,2,4,3,2,3,1,1,3,2,2,3,1,1,2,2,2,2,2,2,1,3,1,1,1,2,2,2,4,1,1,5,6,5,5,4,1,2,3,4,3,2,5,3,2,1,4,4,1,4,1,3,1,4,2,1,0,1,1,0,1,0,0,1,0,0,2,3,3,3,4,5,3,2,4,3,3,3,3,4,2,2,4,5,3,4,3,3,4,4,3,3,2,3,1,3,4,4,4,3,4,4,3,3,3,4,4,21,23,21,15,25,20,38,4,64,1,2,4,1.1760912591,0.1165466422,0.0013831516,7.7056987522
434,2,47,4,1,3,8,2,0,2,5,2,5,4,4,4,2,3,4,3,3,2,2,4,1,1,1,3,1,2,1,2,4,1,2,1,1,1,1,1,3,3,1,1,1,1,1,3,4,4,3,2,3,4,4,4,3,2,2,2,2,2,1,3,2,4,3,1,1,1,1,1,1,1,1,1,0,2,3,3,3,3,,4,1,1,2,2,4,3,3,4,4,1,3,1,1,2,1,2,1,2,3,3,4,2,2,3,3,2,1,2,4,3,2,4,2,2,12,14,14,22,5,32,20,9,,3,4,2,1.3424226808,, ,7.5942976046
264,1,18,1,2,3,7,2,0,4,1,5,1,5,1,1,2,1,1,2,3,1,1,5,4,5,1,5,5,5,1,5,5,1,2,4,1,1,1,5,1,1,7,7,5,7,1,5,4,2,4,3,1,5,3,1,4,4,4,2,3,1,2,4,2,4,2,1,1,1,0,1,1,1,0,0,0,1,1,1,5,2,1,4,1,5,5,5,5,5,5,1,1,1,5,5,5,5,4,4,4,2,4,2,3,1,3,3,4,1,1,3,5,5,2,1,5,5,29,22,27,32,27,26,27,6,64,1,1,2,1.5051499783,0.089672929,7.05050681663962E+AC0-09,7.5396778842
442,2,24,4,2,4,1,1,150,2,5,3,5,1,5,3,2,3,3,2,4,4,3,5,4,1,1,1,2,5,1,3,3,1,2,2,2,1,3,2,4,4,2,2,3,1,3,4,4,5,2,2,3,3,2,5,5,3,3,2,3,3,2,4,2,4,2,1,1,1,1,0,0,1,1,1,0,5,5,2,1,1,1,5,1,1,2,5,1,1,1,5,5,1,2,1,1,1,2,2,2,1,1,4,4,3,4,3,2,1,1,3,1,1,1,1,1,1,9,12,18,32,11,41,23,7,21,1,1,3,1.5051499783,11.6788882946,0.0008547851,7.4359804164
540,1,36,4,1,4,8,2,0,3,1,3,1,4,4,2,4,3,1,3,3,2,4,2,1,1,1,3,4,1,3,2,2,1,3,1,1,1,3,4,1,1,5,5,5,7,5,2,1,2,5,4,2,4,5,2,1,4,4,1,3,1,3,3,3,1,1,1,1,1,0,0,0,1,1,0,0,1,4,5,2,5,3,4,4,5,4,1,3,4,3,3,3,3,4,5,5,2,3,2,4,2,3,1,2,2,1,4,4,2,4,4,5,2,2,5,3,3,22,21,27,13,27,16,35,5,65,2,3,3,1.1139433523,0.3338572952,0.0062683568,7.288736191
470,2,49,5,1,2,5,2,0,4,1,4,1,5,2,2,4,1,2,4,1,1,3,3,1,4,1,3,2,1,3,1,2,2,2,1,2,1,2,1,2,1,5,5,5,5,5,2,2,3,4,4,1,4,4,1,1,3,3,1,3,1,3,2,3,1,1,1,1,1,1,1,0,1,1,0,1,2,2,4,4,4,3,1,4,4,4,2,4,4,4,2,2,4,4,5,5,4,3,4,3,4,4,2,2,2,2,4,4,3,4,4,4,4,5,4,4,4,27,26,24,14,25,18,34,8,72,3,4,1,1.1461280357,1.3511941064,0.0017004766,7.280056545
252,2,21,2,2,5,1,2,0,4,1,3,1,4,1,1,4,1,1,4,1,3,2,1,1,3,1,3,1,4,2,2,3,1,3,1,3,3,2,2,2,2,6,6,6,6,3,2,2,3,4,4,2,4,4,2,2,4,4,1,4,1,4,1,3,1,1,0,1,1,1,1,0,1,0,0,0,3,2,5,4,4,3,1,2,3,3,4,4,3,4,2,2,3,3,5,5,5,4,4,4,4,2,2,2,2,2,4,4,4,4,4,3,4,5,2,4,4,26,26,22,20,27,21,39,5,63,1,1,4,1.3010299957,1.3141761021,0.0007113678,7.1680596355
338,2,45,5,1,4,1,1,30,2,5,2,5,5,1,3,4,1,1,4,1,2,5,1,1,4,1,5,5,1,5,1,1,5,4,1,4,1,5,4,1,1,1,7,7,7,5,2,2,4,5,4,4,4,4,4,4,4,4,1,1,1,4,1,4,1,1,1,1,1,0,1,1,1,0,0,0,1,3,4,4,4,3,3,4,2,4,4,4,4,3,3,3,3,4,1,1,5,2,4,4,4,3,1,2,2,2,4,4,4,4,4,5,3,3,2,3,3,16,25,46,10,27,27,37,6,62,3,4,3,1,0.7962853497,0.0005000612,7.1398243676
517,1,18,1,2,3,3,2,0,3,4,3,2,4,3,3,4,2,4,4,2,2,2,1,1,2,1,3,3,1,2,1,1,1,1,1,3,1,2,2,1,1,3,6,6,5,5,2,3,2,3,2,2,3,3,3,2,4,4,1,4,2,4,2,4,1,1,1,1,1,0,1,0,1,0,0,0,2,3,2,4,4,3,1,4,4,5,3,3,5,4,4,3,2,3,2,4,3,2,3,1,3,3,3,4,3,3,4,3,3,4,4,4,3,5,3,2,3,19,20,21,10,25,27,38,5,63,1,1,2,1,0.4504205347,1.07125351803838E+AC0-05,7.115848992
179,2,45,5,2,4,7,2,0,2,3,1,3,4,3,1,2,3,2,3,2,2,2,4,4,3,1,2,2,4,2,1,2,1,1,2,1,1,1,1,3,1,6,6,6,6,6,3,3,3,4,3,3,4,4,4,3,3,3,1,3,2,3,3,2,1,1,1,1,1,0,1,0,1,0,1,0,2,2,4,3,3,2,3,3,3,4,2,3,3,2,3,2,4,4,3,3,3,4,2,3,3,3,2,3,2,2,4,3,2,4,4,4,4,3,4,3,4,16,20,16,23,30,28,31,6,60,3,4,3,1.361727836,0.2414379698,1.92758503114517E+AC0-07,7.1158393526
420,1,69,4,2,2,6,2,,4,1,3,3,4,4,2,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,4,1,4,4,2,2,4,4,4,5,6,5,6,3,6,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2,3,3,3,3,2,1,1,1,0,0,1,0,0,0,0,2,3,4,5,4,4,3,3,4,4,4,4,4,5,2,2,2,3,5,3,2,3,2,2,2,2,2,2,3,3,2,3,2,2,3,4,3,3,2,4,4,21,17,33,37,26,33,29,4,66,3,5,1,1.5682017241,3.0202810175,0.003156936,6.988277886
66,1,59,5,2,2,,2,, ,5,1,5,1,1,3,1,4,4,1,4,4,2,3,2,1,2,1,1,2,2,1,2,1,2,2,1,3,1,3,3,2,6,2,1,2,1,3,3,3,3,2,3,3,2,4,2,3,4,2,2,2,2,3,1,2,1,1,1,1,0,1,0,0,0,0,1,3,1,3,5,2,2,3,4,4,4,4,2,2,2,4,4,3,3,1,1,5,2,1,1,1,1,3,4,3,4,3,3,2,3,4,3,5,3,2,2,2,,8,15,22,12,32,27,5,53,3,5,1,1.3424226808,13.8966422205,0.0149858891,6.822204624
7,1,33,1,2,5,1,2,0,4,1,4,1,5,1,2,3,2,2,4,1,4,5,5,2,5,2,4,3,3,2,3,5,5,5,2,5,1,5,5,5,3,1,1,1,1,1,4,3,4,4,3,3,3,3,3,3,4,4,2,4,1,4,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,5,3,3,4,3,5,3,2,3,3,3,3,3,3,3,3,3,5,5,5,3,3,3,4,1,2,3,3,3,3,4,4,3,3,3,1,1,3,3,3,28,21,44,31,5,31,34,6,,2,3,4,1.4913616938,, ,6.7183287134
404,2,24,1,2,5,1,2,,4,1,4,1,5,1,2,4,2,1,3,2,1,5,1,1,4,1,5,5,1,5,1,1,3,3,1,4,1,5,5,1,1,6,7,7,5,6,1,1,2,5,5,1,4,5,1,1,4,4,1,4,1,4,1,4,1,1,0,1,1,1,1,0,1,1,0,1,4,1,5,4,4,4,1,4,4,4,1,4,3,4,2,1,4,4,5,5,5,3,3,4,3,4,1,1,2,1,4,4,4,4,4,2,5,5,5,4,5,28,24,44,10,31,12,40,7,74,1,1,4,1,1.2457056361,0.0117438781,6.6901379936
331,1,22,3,2,2,8,1,150,2,4,2,5,2,5,3,4,1,1,4,2,4,4,1,1,3,2,5,4,2,3,3,2,4,4,2,5,2,5,3,1,1,2,2,3,2,2,3,3,4,2,2,4,4,3,4,3,3,3,2,4,3,2,4,2,4,4,0,1,1,0,0,0,0,0,0,0,2,4,3,4,5,1,4,4,2,2,4,2,2,1,3,1,2,4,2,1,1,2,4,4,3,1,4,4,2,3,3,2,1,1,1,4,2,2,2,3,5,10,22,40,17,11,34,22,2,50,1,1,1,1.2304489214,1.1585202867,0.0028874289,6.6552294973
336,2,43,5,2,5,1,2,0,2,4,3,3,4,2,3,3,3,3,3,1,2,4,3,1,2,2,4,3,3,4,2,2,1,4,1,1,2,2,3,1,1,2,6,4,3,4,4,3,3,3,2,4,2,2,4,4,3,3,1,3,1,3,1,3,2,3,1,1,1,0,0,1,1,1,0,1,3,3,3,3,2,2,1,1,1,3,1,1,2,1,3,1,1,3,2,3,4,2,2,2,4,3,3,4,4,4,4,4,4,3,2,3,3,5,5,3,5,18,19,28,18,19,37,32,7,47,2,4,4,1.2552725051,1.3074178666,0.0037897091,6.6114975321
